"site_ID","mean","se","count"
"ABBY","4.75",1.10867789130417,4
"BARR","102",26.7880570404052,6
"BART","8.5",2.32737334062816,4
"BLAN","2",NA,1
"BONA","32.4",7.50732975164938,5
"DCFS","3.5",1,2
"DEJU","4.9",0.578791845139511,5
"HARV","7",0.894427190999916,5
"HEAL","48.4",10.1419919148065,5
"MLBS","2.25",0.75,2
"ORNL","2.5",NA,1
"RMNP","2.75",0.433012701892219,4
"SJER","3",NA,1
"SOAP","2",0.408248290463863,4
"STEI","2",NA,1
"TREE","2",0,2
"WREF","4.66666666666667",1.20185042515466,3
"","0",0,0
"CLBJ","0",0,0
"CPER","0",0,0
"DELA","0",0,0
"DSNY","0",0,0
"GRSM","0",0,0
"JORN","0",0,0
"KONA","0",0,0
"KONZ","0",0,0
"LENO","0",0,0
"MOAB","0",0,0
"NGPRL","0",0,0
"NIWO","0",0,0
"OAES","0",0,0
"ONAQ","0",0,0
"OSBS","0",0,0
"SCBI","0",0,0
"SERC","0",0,0
"SRER","0",0,0
"STER","0",0,0
"TALL","0",0,0
"TOOL","0",0,0
"UNDE","0",0,0
"WOOD","0",0,0
