"siteID","HOR.VER","xOffset","yOffset","zOffset","referenceLatitude","referenceLongitude"
"BART",1.501,0.06,3.05,-0.02,44.063847,-71.287478
"BART",1.502,0.06,3.05,-0.06,44.063847,-71.287478
"BART",1.503,0.06,3.05,-0.16,44.063847,-71.287478
"BART",1.504,0.06,3.05,-0.26,44.063847,-71.287478
"BART",1.505,0.06,3.05,-0.56,44.063847,-71.287478
"BART",1.506,0.06,3.05,-0.96,44.063847,-71.287478
"BART",1.507,0.06,3.05,-1.16,44.063847,-71.287478
"BART",1.508,0.06,3.05,-1.66,44.063847,-71.287478
"BART",1.509,0.06,3.05,-1.96,44.063847,-71.287478
"BART",2.501,0.12,3.15,-0.03,44.063989,-71.288006
"BART",2.502,0.12,3.15,-0.07,44.063989,-71.288006
"BART",2.503,0.12,3.15,-0.17,44.063989,-71.288006
"BART",2.504,0.12,3.15,-0.27,44.063989,-71.288006
"BART",2.505,0.12,3.15,-0.57,44.063989,-71.288006
"BART",2.506,0.12,3.15,-0.97,44.063989,-71.288006
"BART",2.507,0.12,3.15,-1.17,44.063989,-71.288006
"BART",2.508,0.12,3.15,-1.67,44.063989,-71.288006
"BART",2.509,0.12,3.15,-1.97,44.063989,-71.288006
"BART",3.501,3.05,2.52,-0.02,44.064089,-71.28855
"BART",3.502,3.05,2.52,-0.06,44.064089,-71.28855
"BART",3.503,3.05,2.52,-0.16,44.064089,-71.28855
"BART",3.504,3.05,2.52,-0.26,44.064089,-71.28855
"BART",3.505,3.05,2.52,-0.56,44.064089,-71.28855
"BART",3.506,3.05,2.52,-0.96,44.064089,-71.28855
"BART",3.507,3.05,2.52,-1.16,44.064089,-71.28855
"BART",3.508,3.05,2.52,-1.66,44.064089,-71.28855
"BART",3.509,3.05,2.52,-1.96,44.064089,-71.28855
"BART",4.501,4.87,2.88,-0.02,44.064475,-71.288414
"BART",4.502,4.87,2.88,-0.06,44.064475,-71.288414
"BART",4.503,4.87,2.88,-0.16,44.064475,-71.288414
"BART",4.504,4.87,2.88,-0.26,44.064475,-71.288414
