"","site","horizon","incubation","fraction","SOMMOS_horizon","incubation_site","horizon_type","major_horizon_1","major_horizon_2","horizon_order","thickness.cm","top_depth.cm","bottom_depth.cm","midpoint_depth.cm","WS_bulk_density.gcm3","proportion_fine.gg","mass_fine.Mgha","mass_coarse.Mgha","sand.gg","silt.gg","clay.gg","pssa.m2g","magsus_corrected.chi","DC_Al.g100g","DC_Fe.g100g","DC_Mn.g100g","DC_Si.g100g","SP_Al.g100g","SP_Fe.g100g","SP_Mn.g100g","SP_Si.g100g","AO_Al.g100g","AO_Fe.g100g","AO_Mn.mgkg","AO_Si.g100g","LOI.g100g","OC.g100g","N.g100g","IC.g100g","CN.mol","C13","N15","OC.method","FLF.g100g","OCC.g100g","HF.g100g","fmod","fmod.err","D14C","D14C.err","Age_14C","Age_14C.err","OC_Man.g100g","0MST150_52.ugCgC","0MST33_52.ugCgC","0MST400_52.ugCgC","5MST150_52.ugCgC","5MST33_52.ugCgC","5MST400_52.ugCgC","pH","Al_NH4Act.ugg","Ca_NH4Act.ugg","K_NH4Act.ugg","Mg_NH4Act.ugg","Na_NH4Act.ugg","Al_KCl.ugg","Fe_KCl.ugg","V.ugg","S.ugg","C.ugg","LIG.ugg","P.ugg","MON.ugg","SFA.ugg","BA.ugg","BDC.ugg","OH_BDC.ugg","BTC.ugg","OH_BTC.ugg","FA.ugg","DA.ugg","AA.ugg","YIELD.ugg","V.uggOC","S.uggOC","C.uggOC","LIG.uggOC","P.uggOC","MON.uggOC","SFA.uggOC","BA.uggOC","BDC.uggOC","OH_BDC.uggOC","BTC.uggOC","OH_BTC.uggOC","FA.uggOC","DA.uggOC","AA.uggOC","YIELD.uggOC","S_V","C_V","P_V","Vd_Vl","Sd_Sl","X3.5.Bd_LIG","P_LIG","FA_LIG","DA_LIG","AA_LIG","BTC_LIG","BPCA_b3.gkg.soil","BPCA_b4.gkg.soil","BPCA_b5.gkg.soil","BPCA_b6.gkg.soil","BPCA_tot.gkg.soil","BPCA_b3.mggOC","BPCA_b4.mggOC","BPCA_b5.mggOC","BPCA_b6.mggOC","BPCA_tot.mggOC","BPCA_b6_tot.ratio","TOC_CWE.mgg","TOC_HWE.mgg","TOC_CWE_err.mgg","TOC_HWE_err.mgg","FI_CWE","FI_HWE","max_em_370_CWE","max_em_370_HWE","abs_254_CWE","abs_254_HWE","HIX_CWE","HIX_HWE","fresh_CWE","fresh_HWE","MeanDBE_AI_C","MeanDBE_AI_M","MeanDBE_AI_W","MeanDBE_C","MeanDBE_M","MeanDBE_W","MeanDBE_O_C","MeanDBE_O_M","MeanDBE_O_W","MeanGFE_C","MeanGFE_M","MeanGFE_W","MeanHtoC_C","MeanHtoC_M","MeanHtoC_W","MeanKdefect_C","MeanKdefect_M","MeanKdefect_W","MeanKmass_C","MeanKmass_M","MeanKmass_W","MeanNOSC_C","MeanNOSC_M","MeanNOSC_W","MeanNtoC_C","MeanNtoC_M","MeanNtoC_W","MeanOtoC_C","MeanOtoC_M","MeanOtoC_W","MeanPtoC_C","MeanPtoC_M","MeanPtoC_W","MeanNOSC_WMC","MeanDBE_WMC","MeanDBE_O_WMC","MeanAI_WMC","MeanHtoC_WMC","MeanOtoC_WMC","MeanNtoC_WMC","MeanPtoC_WMC","MeanKdefect_WMC","MeanKmass_WMC","MeanGFE_WMC"
"18","ABBY","Oe","PRE","BULK","N","Y","none","O",NA,1,3.8,0,3.8,1.9,0.31,1,116.48857,0,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABBY","A","PRE","BULK","Y","Y","A-Horizon","A",NA,2,19,3.8,22.8,13.3,0.88,0.5728,962.66815,717.96549,22.63,46.34,31.03,7.90987538,676.33,1.101,3.586,0.209,0.069,1.878,1.076,0.113,0.764,1.671,1.085,2332,0.167,18.479,7.2,0.34,0,24.6956855627262,-25.84,4.65,"TC_EA",4.5,0.7,94.7,1.0065,0.0016,-1.8,1.6,NA,NA,6.4,32743.68463,32697.46494,30607.79106,42764.64237,44589.98373,42894.5211,5.17,NA,2039,234.5898,291.66,NA,118.19,1.22,318.61827,157.644699,235.868835,712.131805,142.15763,1322.62083,902.358477,395.467558,28.8924748,663.615441,164.840813,443.674688,552.537711,883.242542,773.133343,6874.47246,0.442525375,0.218950970833333,0.327595604166667,0.989071951388889,0.197441152777778,1.836973375,1.2532756625,0.549260497222222,0.0401284372222222,0.9216881125,0.228945573611111,0.616214844444444,0.7674134875,1.22672575277778,1.07379630972222,9.54787841666667,0.49477608,0.7402866,0.446169110139227,1.00340045,8.4633561,0.12046926,0.19962264,0.77589248,1.24027959,1.08566046,0.23147515,0.27983112,0.212471409,1.007908359,1.296145023,2.796355911,3.88654333333333,2.95099179166667,13.9987272083333,18.0020142083333,38.8382765416667,0.4635121795,0.221,0.891,0.01,0.03,1.398,1.41366666666667,458,464.666666666667,0.0186666666666667,0.0936666666666667,0.645,0.627333333333333,0.544,0.566,-1.069171648,-0.49875467,-1.101480568,5.049530316,7.422478207,10.02405922,0.1818958155,0.3860523039,-0.1930906848,100.2848665,86.03572741,68.31760535,1.767694114,1.533781766,1.276532193,0.2239288369,0.2862022266,0.3904054482,588.9682146,472.6979198,487.0062633,-1.402977771,-0.9030079795,-0.281319486,0.01182756515,0.01546508047,0.02297944661,0.158849111,0.3146042507,0.4741626714,0.004461313986,0.01222754398,0.008024747513,-0.71222,8.115628,0.082497,0.081554,1.459366,0.360013,0.017868,0.009199,0.319229,493.377,80.59824
"5","ABBY","A","PRE","FLF","Y","Y","A-Horizon","A",NA,2,19,3.8,22.8,13.3,0.88,0.5728,962.66815,717.96549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.24,0.495,0,87.7348182718894,-27.36,NA,"OC_IRMS",NA,NA,NA,1.018,0.0017,9.7,1.7,NA,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4190.22012,1661.09643,2021.13236,7872.44891,1374.60045,12257.4965,8307.79443,3626.15727,420.230545,6174.62095,1484.67215,4131.29087,5114.45206,8172.82207,7160.01413,65075.7284,1.12519337271751,0.446051672932331,0.54273156820623,2.11397661385607,0.369119347475832,3.29148670784103,2.23087927765843,0.973726441997852,0.112843862781955,1.65806147959184,0.398676732008593,1.10936919172932,1.37337595596133,2.19463535714286,1.92266759667025,17.4746853920516,0.39642224,0.48234515,0.32804969921246,1.28408237,4.12648496,0.10123812,0.174609,0.64966469,1.03815498,0.90950277,0.18859089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABBY","A","PRE","HF","Y","Y","A-Horizon","A",NA,2,19,3.8,22.8,13.3,0.88,0.5728,962.66815,717.96549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,0.18,0,19.7603595127678,NA,5.27,"OC_IRMS",NA,NA,NA,1.026,0.0016,17.6,1.6,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.113583,58.9431941,73.722668,323.779445,52.8459019,520.956029,351.559033,157.35369,28.6913069,273.490195,93.1975704,179.61479,216.805432,349.114485,304.910459,2808.97193,0.62660191147541,0.193256374098361,0.24171366557377,1.06157195081967,0.173265252131148,1.70805255409836,1.15265256721311,0.515913737704918,0.0940698586885246,0.896689163934426,0.305565804590164,0.588900950819672,0.710837481967213,1.1446376557377,0.99970642295082,9.20974403278689,0.3084197,0.38575316,0.276515677590535,1.59396074,7.24736711,0.10292329,0.16321574,0.66960839,1.07824783,0.94172272,0.28784276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABBY","A","PRE","OCC","Y","Y","A-Horizon","A",NA,2,19,3.8,22.8,13.3,0.88,0.5728,962.66815,717.96549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.27,1.12,0,38.8068933920826,-25.94,NA,"OC_IRMS",NA,NA,NA,0.903,0.0011,-104.3,1.1,820,15,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3853.43765,1726.21001,2292.59516,7872.24282,1407.45799,16175.7187,10783.7398,4806.83986,923.458482,8122.45234,1564.60874,5391.86992,6739.8374,10790.3645,9463.34052,82693.9636,1.03392477864234,0.463163404883284,0.615131515964583,2.11221969949021,0.377638312315535,4.34014453984438,2.89341019586799,1.2897343332439,0.247775283606118,2.17935399517038,0.419803793936142,1.44670510330024,1.8083813791253,2.89518768446472,2.53913080762007,22.1878088543064,0.44796625,0.59494804,0.365247375937171,1.37971583,26.8708835,0.13164088,0.17878742,0.85615212,1.37068492,1.20211492,0.19875006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","ABBY","A","PRE","ROOT","Y","Y","A-Horizon","A",NA,2,19,3.8,22.8,13.3,0.88,0.5728,962.66815,717.96549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208.91598,667.931619,1090.71329,2967.56089,1582.40872,5323.8514,3610.67187,1797.42567,32.9451974,2662.90945,463.414947,1778.38339,2232.70817,3549.9256,3118.17892,28676.8609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55250458,0.90222423,1.30894846803167,0.85294966,4.22990402,0.18890701,0.53323547,0.75237148,1.19624356,1.05075482,0.15616022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABBY","AB","PRE","BULK","N","Y","none","A","B",3,12.4,22.8,35.2,29,1.16,0.6777,975.68554,464.01732,NA,NA,NA,NA,1028.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.434,0.01,0.07,1.5,1.55,460,458,0.006,0.021,0.395,0.336,0.933,0.681,-0.566017316,-0.8509993943,-1.804209184,5.247835498,6.827983041,7.503826531,0.7748917749,0.6777710478,-1.094387755,99.82151188,83.3287691,76.23100752,1.751313263,1.541988876,1.443383322,0.2221166172,0.2757021971,0.3140404363,573.9835111,433.5795371,434.54948,-1.386719715,-0.808026986,-0.5589827201,0.01273484368,0.03490889154,0.01935172947,0.1543837128,0.3183799505,0.432312024,0.004406136036,0.01083724024,0.01018379358,-0.84169,6.65211,-0.01976,0.073768,1.552256,0.326756,0.023612,0.009003,0.27512,460.6571,84.28807
"12","ABBY","Bt1","PRE","BULK","Y","Y","Upper B-Horizon","B",NA,4,17.6,35.2,52.8,44,1.35,0.51815,1233.13744,1146.7359,9.02,46.04,44.94,11.1836175,804.67,1.045,6.563,0.146,0.058,1.128,0.678,0.023,0.582,0.954,0.792,1368,0.102,10.724,1.24,0.04,0,36.1517396987686,-24.64,8.8,"TC_EA",0.8,0.4,98.8,0.8196,0.0012,-187.1,1.2,1600,15,1.4,19880.20001,21862.9852,17920.0847,29878.05912,29233.20266,28189.43315,5.44,5.5,107.75,96.22,37.4,93.07,165.02,0.86,60.7166978,32.742928,45.3147924,138.774418,28.7712327,302.074668,202.427337,89.3853904,6.34486069,151.396877,39.2222844,102.329642,126.15577,201.563005,176.509758,1539.78278,0.489650788709677,0.264055870967742,0.365441874193548,1.11914853225806,0.23202607016129,2.43608603225806,1.63247852419355,0.720849922580645,0.0511682313709677,1.22094255645161,0.31630874516129,0.825239048387097,1.01738524193548,1.62550810483871,1.42346579032258,12.4176030645161,0.53927386,0.74633164,0.473860301078495,0.78009318,18.2811909,0.14103854,0.20732375,0.90907079,1.45245073,1.27191856,0.28263339,0.06308811,0.043839355,0.266364596,0.251719176,0.625011237,5.08775080645161,3.53543185483871,21.4810158064516,20.2999335483871,50.404132016129,0.4027434406,0.124,0.104,0.02,0.01,1.467,1.545,460,452,0.001,0.004,0.257,0.155,0.845,0.849,-1.866385373,-1.006407518,-2.012864494,4.222222222,6.683468603,5.96483705,-0.8537271449,0.1029474584,-1.306603774,98.77031592,85.65202048,81.57144321,1.789289786,1.554534367,1.555508186,0.2127462369,0.2760779911,0.2609946954,520.0347924,439.8977793,405.1965525,-1.349835646,-0.8895445784,-0.7463664283,0.009243721161,0.01975452938,0.02342269326,0.2002668558,0.3313283065,0.3833337688,0.00531881974,0.01688424695,0.008547617335,-0.87944,6.014906,-0.59829,0.074739,1.58041,0.338231,0.019796,0.011534,0.258199,429.1407,85.36401
"13","ABBY","Bt1","PRE","FLF","Y","Y","Upper B-Horizon","B",NA,4,17.6,35.2,52.8,44,1.35,0.51815,1233.13744,1146.7359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.79,0.44,0,100.159401995342,-26.72,NA,"OC_IRMS",NA,NA,NA,0.7589,0.001,-247.2,1,2215,15,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABBY","Bt1","PRE","HF","Y","Y","Upper B-Horizon","B",NA,4,17.6,35.2,52.8,44,1.35,0.51815,1233.13744,1146.7359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.07,0,14.1608196976743,-26.41,17.73,"OC_IRMS",NA,NA,NA,0.8424,0.0012,-164.5,1.2,1380,15,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
