,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
1,ABBY,1,A,0.0,15.0,15.0,,,,,,,,,,,,,,,
2,ABBY,1,AB,15.0,35.0,20.0,,,,,,,,,,,,,,,
3,ABBY,1,Bt1,35.0,43.0,8.0,,,,,,,,,,,,,,,
4,ABBY,1,Bt2,43.0,75.0,32.0,,,,,,,,,,,,,,,
5,ABBY,1,Bt3,75.0,88.0,13.0,,,,,,,,,,,,,,,
6,ABBY,1,BC,88.0,115.0,27.0,,,,,,,,,,,,,,,
7,ABBY,1,Cr,115.0,178.5,63.5,,,,,,,,,,,,,,,
8,ABBY,2,Oe,0.0,4.0,4.0,,,,,,,,,,,,,,,
9,ABBY,2,A,4.0,29.0,25.0,,,,,,,,,,,,,,,
10,ABBY,2,Bt1,29.0,46.0,17.0,,,,,,,,,,,,,,,
11,ABBY,2,Bt2,46.0,80.0,34.0,,,,,,,,,,,,,,,
12,ABBY,2,BC,80.0,93.0,13.0,,,,,,,,,,,,,,,
13,ABBY,2,Cr,93.0,132.5,39.5,,,,,,,,,,,,,,,
14,ABBY,3,O/A,0.0,8.0,8.0,,,,,,,,,,,,,,,
15,ABBY,3,A,8.0,23.0,15.0,,,,,,,,,,,,,,,
16,ABBY,3,AB,23.0,41.0,18.0,,,,,,,,,,,,,,,
17,ABBY,3,Bt1,41.0,56.0,15.0,,,,,,,,,,,,,,,
18,ABBY,3,Bt2,56.0,93.0,37.0,,,,,,,,,,,,,,,
19,ABBY,3,C/B,93.0,149.0,56.0,,,,,,,,,,,,,,,
20,ABBY,4,Oe,0.0,3.0,3.0,,,,,,,,,,,,,,,
21,ABBY,4,A1,3.0,17.0,14.0,,,,,,,,,,,,,,,
22,ABBY,4,A2,17.0,30.0,13.0,,,,,,,,,,,,,,,
23,ABBY,4,A/B,30.0,37.0,7.0,,,,,,,,,,,,,,,
24,ABBY,4,Bt1,37.0,58.0,21.0,,,,,,,,,,,,,,,
25,ABBY,4,Bt2,58.0,99.0,41.0,,,,,,,,,,,,,,,
26,ABBY,4,BC,99.0,117.0,18.0,,,,,,,,,,,,,,,
27,ABBY,4,Cr,117.0,170.0,53.0,,,,,,,,,,,,,,,
28,ABBY,5,Oe,0.0,4.0,4.0,,,,,,,,,,,,,,,
29,ABBY,5,A,4.0,17.0,13.0,,,,,,,,,,,,,,,
30,ABBY,5,AB,17.0,34.0,17.0,,,,,,,,,,,,,,,
31,ABBY,5,Bt1,34.0,61.0,27.0,,,,,,,,,,,,,,,
32,ABBY,5,Bt2,61.0,81.0,20.0,,,,,,,,,,,,,,,
33,ABBY,5,BC,81.0,139.0,58.0,,,,,,,,,,,,,,,
34,ABBY,5,Cr,139.0,174.0,35.0,,,,,,,,,,,,,,,
924,BARR,1,Oe,0.0,34.0,34.0,,,,,,,,,,,,,,,
925,BARR,1,Oe/Oa,34.0,52.0,18.0,,,,,,,,,,,,,,,
926,BARR,1,Oea,52.0,63.0,11.0,,,,,,,,,,,,,,,
927,BARR,1,Oa,63.0,83.0,20.0,,,,,,,,,,,,,,,
928,BARR,1,Af,83.0,99.0,16.0,,,,,,,,,,,,,,,
929,BARR,2,Oea,0.0,23.0,23.0,,,,,,,,,,,,,,,
930,BARR,2,Oa,23.0,50.0,27.0,,,,,,,,,,,,,,,
931,BARR,2,Oae,50.0,70.0,20.0,,,,,,,,,,,,,,,
932,BARR,2,Cjj/Oa,70.0,94.0,24.0,,,,,,,,,,,,,,,
933,BARR,2,Oaejj,94.0,157.0,63.0,,,,,,,,,,,,,,,
934,BARR,3.1,Oe,0.0,20.0,20.0,,,,,,,,,,,,,,,
935,BARR,3.1,Oa,20.0,45.0,25.0,,,,,,,,,,,,,,,
936,BARR,3.1,O/W,45.0,60.0,15.0,,,,,,,,,,,,,,,
937,BARR,3.1,W1,60.0,130.0,70.0,,,,,,,,,,,,,,,
938,BARR,3.1,W/O,130.0,196.0,66.0,,,,,,,,,,,,,,,
939,BARR,3.1,W2,196.0,261.0,65.0,,,,,,,,,,,,,,,
940,BARR,3.2,Oea,0.0,27.0,27.0,,,,,,,,,,,,,,,
941,BARR,3.2,Oaef,27.0,53.0,26.0,,,,,,,,,,,,,,,
942,BARR,3.2,Oaf,53.0,94.0,41.0,,,,,,,,,,,,,,,
943,BARR,4,Oie,0.0,3.0,3.0,,,,,,,,,,,,,,,
944,BARR,4,Oa,3.0,11.0,8.0,,,,,,,,,,,,,,,
