"","siteID","HOR.VER","name","description","start","end","referenceName","referenceDescription","referenceStart","referenceEnd","xOffset","yOffset","zOffset","pitch","roll","azimuth","referenceLatitude","referenceLongitude","referenceElevation","publicationDate"
"1","BART","001.501","CFGLOC107920","Bartlett Experimental Forest Soil Temp Profile SP1, Z1 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.02,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"2","BART","001.502","CFGLOC107922","Bartlett Experimental Forest Soil Temp Profile SP1, Z2 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.06,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"3","BART","001.503","CFGLOC107924","Bartlett Experimental Forest Soil Temp Profile SP1, Z3 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.16,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"4","BART","001.504","CFGLOC107926","Bartlett Experimental Forest Soil Temp Profile SP1, Z4 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.26,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"5","BART","001.505","CFGLOC107928","Bartlett Experimental Forest Soil Temp Profile SP1, Z5 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.56,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"6","BART","001.506","CFGLOC107930","Bartlett Experimental Forest Soil Temp Profile SP1, Z6 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-0.96,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"7","BART","001.507","CFGLOC107932","Bartlett Experimental Forest Soil Temp Profile SP1, Z7 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-1.16,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"8","BART","001.508","CFGLOC107934","Bartlett Experimental Forest Soil Temp Profile SP1, Z8 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-1.66,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"9","BART","001.509","CFGLOC107936","Bartlett Experimental Forest Soil Temp Profile SP1, Z9 Depth","2010-01-01T00:00:00Z","","SOILPL100493","Bartlett Experimental Forest Soil Plot, SP1","2010-01-01T00:00:00Z","",0.06,3.05,-1.96,1.9,0,200,44.063847,-71.287478,274.33,"20200818T134509Z"
"10","BART","002.501","CFGLOC107947","Bartlett Experimental Forest Soil Temp Profile SP2, Z1 Depth","2010-01-01T00:00:00Z","","SOILPL107937","Bartlett Experimental Forest Soil Plot, SP2","2010-01-01T00:00:00Z","",0.12,3.15,-0.03,1,0,180,44.063989,-71.288006,272.68,"20200818T134509Z"
"11","BART","002.502","CFGLOC107949","Bartlett Experimental Forest Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z","","SOILPL107937","Bartlett Experimental Forest Soil Plot, SP2","2010-01-01T00:00:00Z","",0.12,3.15,-0.07,1,0,180,44.063989,-71.288006,272.68,"20200818T134509Z"
"12","BART","002.503","CFGLOC107951","Bartlett Experimental Forest Soil Temp Profile SP2, Z3 Depth","2010-01-01T00:00:00Z","","SOILPL107937","Bartlett Experimental Forest Soil Plot, SP2","2010-01-01T00:00:00Z","",0.12,3.15,-0.17,1,0,180,44.063989,-71.288006,272.68,"20200818T134509Z"
"13","BART","002.504","CFGLOC107954","Bartlett Experimental Forest Soil Temp Profile SP2, Z4 Depth","2010-01-01T00:00:00Z","","SOILPL107937","Bartlett Experimental Forest Soil Plot, SP2","2010-01-01T00:00:00Z","",0.12,3.15,-0.27,1,0,180,44.063989,-71.288006,272.68,"20200818T134509Z"
