"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec.degC","dur.vec.hr","thres.vec.degC","sensor_ID"
"1","BART_501_001","BART",1,501,-0.02,"Keep",0,"fall",1,"BART",501,1,"3","4","1.5","BART_501_001_fall_1"
"2","BART_502_001","BART",1,502,-0.06,"Keep",0,"fall",1,"BART",502,1,"3","4","1.5","BART_502_001_fall_1"
"3","BART_503_001","BART",1,503,-0.16,"Keep",0,"fall",1,"BART",503,1,"3","4","1.5","BART_503_001_fall_1"
"4","BART_504_001","BART",1,504,-0.26,"Keep",0,"fall",1,"BART",504,1,"3","4","1.5","BART_504_001_fall_1"
"5","BART_505_001","BART",1,505,-0.56,"Keep",0,"fall",1,"BART",505,1,"3","4","1.5","BART_505_001_fall_1"
"6","BART_506_001","BART",1,506,-0.96,"Keep",0,"fall",1,"BART",506,1,"3","4","1.5","BART_506_001_fall_1"
"7","BART_507_001","BART",1,507,-1.16,"Keep",0,"fall",1,"BART",507,1,"3","4","1.5","BART_507_001_fall_1"
"8","BART_508_001","BART",1,508,-1.66,"Keep",0,"fall",1,"BART",508,1,"3","4","1.5","BART_508_001_fall_1"
"9","BART_509_001","BART",1,509,-1.96,"Keep",0,"fall",1,"BART",509,1,"3","4","1.5","BART_509_001_fall_1"
"10","BART_501_002","BART",2,501,-0.03,"Keep",0,"fall",1,"BART",501,2,"3","4","1.5","BART_501_002_fall_1"
"11","BART_502_002","BART",2,502,-0.07,"Keep",0,"fall",1,"BART",502,2,"3","4","1.5","BART_502_002_fall_1"
"12","BART_503_002","BART",2,503,-0.17,"Keep",0,"fall",1,"BART",503,2,"3","4","1.5","BART_503_002_fall_1"
"13","BART_504_002","BART",2,504,-0.27,"Keep",0,"fall",1,"BART",504,2,"3","4","1.5","BART_504_002_fall_1"
"14","BART_505_002","BART",2,505,-0.57,"Keep",0,"fall",1,"BART",505,2,"3","4","1.5","BART_505_002_fall_1"
"15","BART_506_002","BART",2,506,-0.97,"Keep",0,"fall",1,"BART",506,2,"3","4","1.5","BART_506_002_fall_1"
"16","BART_507_002","BART",2,507,-1.17,"Keep",0,"fall",1,"BART",507,2,"3","4","1.5","BART_507_002_fall_1"
"17","BART_508_002","BART",2,508,-1.67,"Keep",0,"fall",1,"BART",508,2,"3","4","1.5","BART_508_002_fall_1"
"18","BART_509_002","BART",2,509,-1.97,"Keep",0,"fall",1,"BART",509,2,"3","4","1.5","BART_509_002_fall_1"
"19","BART_501_003","BART",3,501,-0.02,"Keep",0,"fall",1,"BART",501,3,"3","4","1.5","BART_501_003_fall_1"
"20","BART_502_003","BART",3,502,-0.06,"Keep",0,"fall",1,"BART",502,3,"3","4","1.5","BART_502_003_fall_1"
"21","BART_503_003","BART",3,503,-0.16,"Keep",0,"fall",1,"BART",503,3,"3","4","1.5","BART_503_003_fall_1"
"22","BART_504_003","BART",3,504,-0.26,"Keep",0,"fall",1,"BART",504,3,"3","4","1.5","BART_504_003_fall_1"
"23","BART_505_003","BART",3,505,-0.56,"Keep",0,"fall",1,"BART",505,3,"3","4","1.5","BART_505_003_fall_1"
"24","BART_506_003","BART",3,506,-0.96,"Keep",0,"fall",1,"BART",506,3,"3","4","1.5","BART_506_003_fall_1"
"25","BART_507_003","BART",3,507,-1.16,"Keep",0,"fall",1,"BART",507,3,"3","4","1.5","BART_507_003_fall_1"
"26","BART_508_003","BART",3,508,-1.66,"Keep",0,"fall",1,"BART",508,3,"3","4","1.5","BART_508_003_fall_1"
"27","BART_509_003","BART",3,509,-1.96,"Keep",0,"fall",1,"BART",509,3,"3","4","1.5","BART_509_003_fall_1"
"28","BART_501_004","BART",4,501,-0.02,"Keep",0,"fall",1,"BART",501,4,"3","4","1.5","BART_501_004_fall_1"
"29","BART_502_004","BART",4,502,-0.06,"Keep",0,"fall",1,"BART",502,4,"3","4","1.5","BART_502_004_fall_1"
"30","BART_503_004","BART",4,503,-0.16,"Keep",0,"fall",1,"BART",503,4,"3","4","1.5","BART_503_004_fall_1"
"31","BART_504_004","BART",4,504,-0.26,"Keep",0,"fall",1,"BART",504,4,"3","4","1.5","BART_504_004_fall_1"
"32","BART_505_004","BART",4,505,-0.56,"Keep",0,"fall",1,"BART",505,4,"3","4","1.5","BART_505_004_fall_1"
"33","BART_506_004","BART",4,506,-0.96,"Exclude",NA,"fall",1,"BART",506,4,"3","4","1.5","BART_506_004_fall_1"
"34","BART_507_004","BART",4,507,-1.16,"Keep",0,"fall",1,"BART",507,4,"3","4","1.5","BART_507_004_fall_1"
"35","BART_508_004","BART",4,508,-1.66,"Keep",0,"fall",1,"BART",508,4,"3","4","1.5","BART_508_004_fall_1"
"36","BART_509_004","BART",4,509,-1.96,"Keep",0,"fall",1,"BART",509,4,"3","4","1.5","BART_509_004_fall_1"
"37","BART_501_005","BART",5,501,-0.03,"Keep",0,"fall",1,"BART",501,5,"3","4","1.5","BART_501_005_fall_1"
"38","BART_502_005","BART",5,502,-0.07,"Keep",0,"fall",1,"BART",502,5,"3","4","1.5","BART_502_005_fall_1"
"39","BART_503_005","BART",5,503,-0.17,"Keep",0,"fall",1,"BART",503,5,"3","4","1.5","BART_503_005_fall_1"
"40","BART_504_005","BART",5,504,-0.27,"Keep",0,"fall",1,"BART",504,5,"3","4","1.5","BART_504_005_fall_1"
"41","BART_505_005","BART",5,505,-0.57,"Keep",0,"fall",1,"BART",505,5,"3","4","1.5","BART_505_005_fall_1"
"42","BART_506_005","BART",5,506,-0.97,"Keep",0,"fall",1,"BART",506,5,"3","4","1.5","BART_506_005_fall_1"
