"site_ID","plot","horizon","top_depth.cm","bottom_depth.cm","thickness.cm","organic"
"ABBY",2,"Oe",0,4,4,"organic"
"ABBY",3,"O/A",0,8,8,"organic"
"ABBY",4,"Oe",0,3,3,"organic"
"ABBY",5,"Oe",0,4,4,"organic"
"BARR",1,"Oe",0,34,34,"organic"
"BARR",1,"Oe/Oa",34,52,18,"organic"
"BARR",1,"Oea",52,63,11,"organic"
"BARR",1,"Oa",63,83,20,"organic"
"BARR",2,"Oea",0,23,23,"organic"
"BARR",2,"Oa",23,50,27,"organic"
"BARR",2,"Oae",50,70,20,"organic"
"BARR",2,"Cjj/Oa",70,94,24,"organic"
"BARR",2,"Oaejj",94,157,63,"organic"
"BARR",3.1,"Oe",0,20,20,"organic"
"BARR",3.1,"Oa",20,45,25,"organic"
"BARR",3.1,"O/W",45,60,15,"organic"
"BARR",3.1,"W/O",130,196,66,"organic"
"BARR",3.2,"Oea",0,27,27,"organic"
"BARR",3.2,"Oaef",27,53,26,"organic"
"BARR",3.2,"Oaf",53,94,41,"organic"
"BARR",4,"Oie",0,3,3,"organic"
"BARR",4,"Oa",3,11,8,"organic"
"BARR",5,"Oie",0,5,5,"organic"
"BARR",5,"Oa",5,12,7,"organic"
"BARR",5,"O/Afjj",35,71,36,"organic"
"BART",1,"OA",0,7,7,"organic"
"BART",2,"OA",0,3,3,"organic"
"BART",3,"OA",0,14,14,"organic"
"BART",5,"Oe",0,2,2,"organic"
"BART",5,"OA",2,10,8,"organic"
"BLAN",1,"Oi",2,0,-2,"organic"
"BONA",1,"Oe",0,5,5,"organic"
"BONA",1,"Oa",5,15,10,"organic"
"BONA",1,"Oa/Bjj",15,20,5,"organic"
"BONA",1,"Oa/Bgjj1",20,43,23,"organic"
"BONA",1,"Oa/Bgjj2",43,55,12,"organic"
"BONA",2,"Oe",0,17,17,"organic"
"BONA",2,"Oa",17,25,8,"organic"
"BONA",2,"Oa/Cg",25,27,2,"organic"
"BONA",3,"Oe",0,9,9,"organic"
"BONA",3,"Bjj/Oa",9,29,20,"organic"
"BONA",4,"Oe",0,3,3,"organic"
"BONA",4,"Oa",3,11,8,"organic"
"BONA",4,"Bjj/Oa",11,41,30,"organic"
"BONA",5,"Oa",0,10,10,"organic"
"DCFS",1,"Oi",4.5,0,-4.5,"organic"
"DCFS",3,"Oi",2.5,0,-2.5,"organic"
"DEJU",1,"Oi",0,1.5,1.5,"organic"
"DEJU",1,"O/A",1.5,5.5,4,"organic"
"DEJU",2,"Oi",0,5,5,"organic"
"DEJU",3,"Oe",0,4.5,4.5,"organic"
"DEJU",4,"Oe",0,3,3,"organic"
"DEJU",5,"Oe",0,6.5,6.5,"organic"
"HARV",1,"OA",0,6,6,"organic"
"HARV",2,"OA",0,6,6,"organic"
"HARV",3,"OA",0,8,8,"organic"
"HARV",4,"OA",0,5,5,"organic"
"HARV",5,"OA",0,10,10,"organic"
"HEAL",1,"Oi/Oe",0,19,19,"organic"
"HEAL",1,"Oa",19,34,15,"organic"
"HEAL",2,"Oi/Oe",0,15,15,"organic"
"HEAL",2,"Oa",15,30,15,"organic"
"HEAL",2,"Afjj/Oa",47,74,27,"organic"
"HEAL",3,"Oi",0,20,20,"organic"
"HEAL",3,"Oe",20,35,15,"organic"
"HEAL",3,"Oa/Oe",35,35,0,"organic"
"HEAL",4,"Oi",0,3,3,"organic"
"HEAL",4,"Oe",3,15,12,"organic"
"HEAL",4,"Oa",15,27,12,"organic"
"HEAL",5,"Oi",0,4.5,4.5,"organic"
"HEAL",5,"Oe",4.5,5,0.5,"organic"
"HEAL",5,"Oe/Oa",5,30,25,"organic"
"HEAL",5,"Oa/Cfjj",30,72,42,"organic"
"MLBS",1,"Oe",0,3,3,"organic"
"MLBS",2,"Oe",0,1.5,1.5,"organic"
"ORNL",3,"Oe",0,2.5,2.5,"organic"
"RMNP",1,"Oe",2,0,-2,"organic"
"RMNP",1,"Oe",4,0,-4,"organic"
"RMNP",3,"Oe",0,2.5,2.5,"organic"
"RMNP",4,"Oe",2.5,0,-2.5,"organic"
"RMNP",5,"Oe",2,0,-2,"organic"
"SJER",3,"Oi",0,3,3,"organic"
"SOAP",1,"Oi",0,2,2,"organic"
"SOAP",2,"Oi",0,2,2,"organic"
"SOAP",4,"Oe",0,3,3,"organic"
"SOAP",5,"Oi",0,1,1,"organic"
"STEI",1,"Oe",0,2,2,"organic"
"TREE",2,"Oe",0,2,2,"organic"
"TREE",3,"Oe",0,2,2,"organic"
"WREF",1,"Oe",0,4,4,"organic"
"WREF",2,"Oe",0,7,7,"organic"
"WREF",3,"Oe",0,3,3,"organic"
