"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core"
"1","BART_501_1","BART","1","501",-0.02,"Keep",0,"summer1","1","BART","501","1"
"2","BART_502_1","BART","1","502",-0.06,"Keep",0,"summer1","1","BART","502","1"
"3","BART_503_1","BART","1","503",-0.16,"Keep",0,"summer1","1","BART","503","1"
"4","BART_504_1","BART","1","504",-0.26,"Keep",0,"summer1","1","BART","504","1"
"5","BART_505_1","BART","1","505",-0.56,"Keep",0,"summer1","1","BART","505","1"
"6","BART_506_1","BART","1","506",-0.96,"Keep",0,"summer1","1","BART","506","1"
"7","BART_507_1","BART","1","507",-1.16,"Keep",0,"summer1","1","BART","507","1"
"8","BART_508_1","BART","1","508",-1.66,"Keep",0,"summer1","1","BART","508","1"
"9","BART_509_1","BART","1","509",-1.96,"Keep",0,"summer1","1","BART","509","1"
"10","BART_501_2","BART","2","501",-0.03,"Keep",0,"summer1","1","BART","501","2"
"11","BART_502_2","BART","2","502",-0.07,"Keep",0,"summer1","1","BART","502","2"
"12","BART_503_2","BART","2","503",-0.17,"Keep",0,"summer1","1","BART","503","2"
"13","BART_504_2","BART","2","504",-0.27,"Keep",0,"summer1","1","BART","504","2"
"14","BART_505_2","BART","2","505",-0.57,"Keep",0,"summer1","1","BART","505","2"
"15","BART_506_2","BART","2","506",-0.97,"Keep",0,"summer1","1","BART","506","2"
"16","BART_507_2","BART","2","507",-1.17,"Exclude",NA,"summer1","1","BART","507","2"
"17","BART_508_2","BART","2","508",-1.67,"Keep",0,"summer1","1","BART","508","2"
"18","BART_509_2","BART","2","509",-1.97,"Keep",0,"summer1","1","BART","509","2"
"19","BART_501_3","BART","3","501",-0.02,"Keep",0,"summer1","1","BART","501","3"
"20","BART_502_3","BART","3","502",-0.06,"Keep",0,"summer1","1","BART","502","3"
"21","BART_503_3","BART","3","503",-0.16,"Keep",0,"summer1","1","BART","503","3"
"22","BART_504_3","BART","3","504",-0.26,"Keep",0,"summer1","1","BART","504","3"
"23","BART_505_3","BART","3","505",-0.56,"Keep",0,"summer1","1","BART","505","3"
"24","BART_506_3","BART","3","506",-0.96,"Keep",0,"summer1","1","BART","506","3"
"25","BART_507_3","BART","3","507",-1.16,"Keep",0,"summer1","1","BART","507","3"
"26","BART_508_3","BART","3","508",-1.66,"Keep",0,"summer1","1","BART","508","3"
"27","BART_509_3","BART","3","509",-1.96,"Keep",0,"summer1","1","BART","509","3"
"28","BART_501_4","BART","4","501",-0.02,"Keep",0,"summer1","1","BART","501","4"
"29","BART_502_4","BART","4","502",-0.06,"Keep",0,"summer1","1","BART","502","4"
"30","BART_503_4","BART","4","503",-0.16,"Keep",0,"summer1","1","BART","503","4"
"31","BART_504_4","BART","4","504",-0.26,"Keep",0,"summer1","1","BART","504","4"
"32","BART_505_4","BART","4","505",-0.56,"Keep",0,"summer1","1","BART","505","4"
"33","BART_506_4","BART","4","506",-0.96,"Exclude",NA,"summer1","1","BART","506","4"
"34","BART_507_4","BART","4","507",-1.16,"Keep",0,"summer1","1","BART","507","4"
"35","BART_508_4","BART","4","508",-1.66,"Keep",0,"summer1","1","BART","508","4"
"36","BART_509_4","BART","4","509",-1.96,"Keep",0,"summer1","1","BART","509","4"
"37","BART_501_5","BART","5","501",-0.03,"Keep",0,"summer1","1","BART","501","5"
"38","BART_502_5","BART","5","502",-0.07,"Keep",0,"summer1","1","BART","502","5"
"39","BART_503_5","BART","5","503",-0.17,"Keep",0,"summer1","1","BART","503","5"
"40","BART_504_5","BART","5","504",-0.27,"Keep",0,"summer1","1","BART","504","5"
"41","BART_505_5","BART","5","505",-0.57,"Keep",0,"summer1","1","BART","505","5"
"42","BART_506_5","BART","5","506",-0.97,"Keep",0,"summer1","1","BART","506","5"
"43","BART_507_5","BART","5","507",-1.17,"Keep",0,"summer1","1","BART","507","5"
"44","BART_508_5","BART","5","508",-1.67,"Keep",0,"summer1","1","BART","508","5"
"45","BART_509_5","BART","5","509",-1.97,"Keep",0,"summer1","1","BART","509","5"
"46","HARV_501_1","HARV","1","501",-0.02,"Keep",0,"summer1","1","HARV","501","1"
"47","HARV_502_1","HARV","1","502",-0.06,"Keep",0,"summer1","1","HARV","502","1"
"48","HARV_503_1","HARV","1","503",-0.16,"Keep",0,"summer1","1","HARV","503","1"
"49","HARV_504_1","HARV","1","504",-0.26,"Keep",0,"summer1","1","HARV","504","1"
"50","HARV_505_1","HARV","1","505",-0.36,"Keep",0,"summer1","1","HARV","505","1"
